"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0048","石油・石炭製品","20250730","1840.84","18.3","1","1822.54","2539281575641","25240050677","2514041524964","36275451080590","137941815950","7","2846636737"
"0049","ゴム製品","20250730","4669.17","10.34","0.22","4658.83","3454194249420","7650920183","3446543329236","31401765903815","73978718942","11","773310825"
"004A","ガラス・土石製品","20250730","1445.56","3.79","0.26","1441.77","3526239212689","9252116977","3516987095713","14104956850756","243935867625","25","1068899404"
"004B","鉄鋼","20250730","695.72","2.12","0.31","693.6","4267483218110","13017456641","4254465761469","18554274861347","613387830768","23","1915589926"
"004C","非鉄金属","20250730","2043.74","77.15","3.92","1966.59","5756741432987","217308860155","5539432572832","28783707164936","281677454840","20","1622851567"
"004D","金属製品","20250730","1530.04","-1.81","-0.12","1531.85","2725875141905","-3216002741","2729091144646","9086250473017","178156982882","30","1264667016"
"004E","機械","20250730","3767.63","18.09","0.48","3749.54","34095642874498","163662125523","33931980748974","29141575106408","904963287832","117","8646840597"
"004F","電気機器","20250730","5118.94","39.67","0.78","5079.27","97396093334699","754798644413","96641294690286","73784919192954","1902662579299","132","26926156943"
"0050","輸送用機器","20250730","4404.86","-33.32","-0.75","4438.18","38787982992439","-293337872583","39081320865022","90204611610323","880571552354","43","18196146345"
"0051","精密機器","20250730","11206.37","-55.1","-0.49","11261.47","11260428960654","-55370209386","11315799170040","41705292446867","100482390071","27","3247036845"
"0052","その他製品","20250730","7330.19","-16.28","-0.22","7346.47","17520401095199","-38929661685","17559330756884","43801002737998","239017104106","40","3314615206"
"0053","電気・ガス業","20250730","532.65","2.57","0.48","530.08","7032088192768","34050368159","6998037824608","30574296490294","1320197272270","23","4455885913"
"0054","陸運業","20250730","2110.92","24.72","1.18","2086.2","13206194972698","154642204971","13051552767727","35692418845130","625612460279","37","4997395693"
"0055","海運業","20250730","1848.85","23.39","1.28","1825.46","3387278468049","42857440386","3344421027663","56454641134143","183210040702","6","876421371"
"0056","空運業","20250730","231.34","-5.1","-2.16","236.44","1911351304932","-42152198744","1953503503676","95567565246582","826210545877","2","669220621"
"0057","倉庫・運輸関連業","20250730","4124.79","10.66","0.26","4114.13","913054206555","2354802409","910699404146","7608785054622","22135756238","12","352459992"
"0058","情報・通信業","20250730","6871.93","18.39","0.27","6853.54","44185156614981","118219961842","44066936653139","25105202622148","642980189078","176","71856342701"
"0059","卸売業","20250730","3947","24.1","0.61","3922.9","38205394693647","233303550549","37972091143098","29388765148959","9679593036966","130","11380596720"
"005A","小売業","20250730","2055.06","2.23","0.11","2052.83","26138278781098","28414503115","26109864277982","17781142027958","12718966408007","147","8037372581"
"005B","銀行業","20250730","411.49","2.7","0.66","408.79","50655538584398","332262660231","50323275924166","74493439094703","123102768402806","68","22241424285"
"005C","証券、商品先物取引業","20250730","677.21","2.42","0.36","674.79","5142491950295","18336346212","5124155604084","28569399723863","7593698667837","18","4150256615"
